date,campaign_id,campaign_name,ad_group_id,ad_group_name,search_term,search_term_status,match_type_delivered,impressions,clicks,cost,conversions,conversions_value
2025-10-11,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,certainteed near me,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-11,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,choice roofing,NONE,BROAD,2,0,0.0,0.0,0.0
2025-10-11,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,contractors near me,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-11,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,fortified roof,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-11,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,green country rooftops,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-11,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,gutter installation,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-11,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,hanson's,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-11,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,legends roofing,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-11,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,mueller metal,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-11,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,ridge line roof,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-11,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,standing seam metal roof,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-11,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,roof company near me near me,NONE,NEAR_EXACT,1,0,0.0,0.0,0.0
2025-10-11,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,roofers,NONE,NEAR_EXACT,3,0,0.0,0.0,0.0
2025-10-11,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,roofing contractors near me,NONE,NEAR_EXACT,1,0,0.0,0.0,0.0
2025-10-11,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,roofers,NONE,NEAR_PHRASE,1,0,0.0,0.0,0.0
2025-10-11,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,roofing companies mandeville,NONE,NEAR_PHRASE,2,0,0.0,0.0,0.0
2025-10-11,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,roofing companies metairie,NONE,NEAR_PHRASE,1,0,0.0,0.0,0.0
2025-10-11,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,duro last,NONE,NEAR_PHRASE,1,0,0.0,0.0,0.0
2025-10-11,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,t rock roofing near me,NONE,NEAR_PHRASE,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,roofing companies in new orleans,NONE,PHRASE,3,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,and siding,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,ars roofing,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,b&h roofing llc,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,changing roof pitch before and after,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,contractor,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,contractors,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,contractors metairie,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,exterior contractors,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,fleur de lis roofing new orleans,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,fortified roof program louisiana,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,general contractor,NONE,BROAD,3,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,liquid construction solutions,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,metal roof coating,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,nola easy build llc,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,patriot construction,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,r panel metal roof,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,rci construction,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,reedsmetal,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,residential exterior contractors,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,roof,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,roof cleaning near me,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,t mac construction,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,accuserve solutions,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,aluminum roofing,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,ars roofing,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,b&h roofing llc,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,call a pro home improvements,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,carolina atlantic pearl river la,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,contractor,NONE,BROAD,3,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,contractors new orleans,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,fortified roof,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,fortified roof program,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,owens corning company,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,premier roofing,NONE,BROAD,4,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,r panel metal roof,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,roof insulation,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,roofing tile for sale,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,standing seam panel,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,w pan roofing panels,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,wind mitigation roof,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,eagle brothers roofing,NONE,NEAR_PHRASE,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,lloyd roofing fort myers fl,NONE,NEAR_PHRASE,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,metal roof repair near me,NONE,NEAR_PHRASE,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,metal roofing near me,NONE,NEAR_PHRASE,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,roof crafters louisiana,NONE,NEAR_PHRASE,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,roofing companies in new orleans,NONE,NEAR_PHRASE,3,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,slidell roofer,NONE,NEAR_PHRASE,5,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,steel roof installers near me,NONE,NEAR_PHRASE,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,eagle brothers roofing,NONE,NEAR_PHRASE,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,erie home,NONE,NEAR_PHRASE,2,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,erie roofing phone number,NONE,NEAR_PHRASE,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,lloyd roofing fort myers fl,NONE,NEAR_PHRASE,1,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,new orleans roofer,NONE,NEAR_PHRASE,2,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,slidell roofer,NONE,NEAR_PHRASE,3,0,0.0,0.0,0.0
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,southern solutions llc,NONE,AI_MAX,1,0,0.0,0.0,0.0
2025-10-13,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,roofing companies in new orleans,NONE,PHRASE,1,0,0.0,0.0,0.0
2025-10-13,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,roofing companies jacksonville fl,NONE,PHRASE,1,0,0.0,0.0,0.0
2025-10-13,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,roofing company harvey,NONE,PHRASE,1,0,0.0,0.0,0.0
2025-10-13,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,bbb construction,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-13,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,brennan roofing,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-13,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,garcia roofing new orleans,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-13,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,gutter man near me,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-13,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,van roof repair,NONE,BROAD,2,0,0.0,0.0,0.0
2025-10-13,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,abc roofing,NONE,BROAD,1,1,8.67,0.0,0.0
2025-10-13,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,accent home improvement,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-13,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,adco metals lacombe,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-13,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,black tile roof,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-13,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,compañía de roofing cerca de mí,NONE,BROAD,3,1,0.79,0.0,0.0
2025-10-13,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,diamond roofing company,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-13,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,fortified roof louisiana,NONE,BROAD,1,0,0.0,0.0,0.0
2025-10-13,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,legacy roofing and construction,NONE,BROAD,1,0,0.0,0.0,0.0
