date,campaign_id,campaign_name,ad_group_id,ad_group_name,search_term,search_term_status,match_type_delivered,impressions,clicks,cost,conversions,conversions_value
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,174397650916,Roof Repairs,roof crack repair near me,NONE,PHRASE,1,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,174397650916,Roof Repairs,roof repair handyman near me,NONE,PHRASE,1,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,174397650916,Roof Repairs,roof repair near me,NONE,PHRASE,1,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,roof waterproofing company near me,NONE,PHRASE,1,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,garcia roofing commercial,NONE,PHRASE,1,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,174397650916,Roof Repairs,advance roofing,NONE,BROAD,1,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,174397650916,Roof Repairs,advance roofing cerca de mi,NONE,BROAD,1,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,174397650916,Roof Repairs,dickerson roofing,NONE,BROAD,1,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,174397650916,Roof Repairs,fortified roof program,NONE,BROAD,1,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,174397650916,Roof Repairs,louisiana fortified roof program,NONE,BROAD,1,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,174397650916,Roof Repairs,metairie roofers,NONE,BROAD,2,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,174397650916,Roof Repairs,rocket restoration,NONE,BROAD,1,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,174397650916,Roof Repairs,roofer contract,NONE,BROAD,2,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,174397650916,Roof Repairs,roofers near me,NONE,BROAD,1,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,174397650916,Roof Repairs,skylight install,NONE,BROAD,2,1,5.96,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,174397650916,Roof Repairs,southern home improvement,NONE,BROAD,1,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,abc roofing,NONE,BROAD,1,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,all around roofing,NONE,BROAD,1,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,corrugated industries chalmette,NONE,BROAD,1,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,fortenberry roofing,NONE,BROAD,1,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,fortified roof,NONE,BROAD,1,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,fortify roof,NONE,BROAD,1,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,landry construction,NONE,BROAD,1,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,louisiana fortified roof program,NONE,BROAD,1,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,lux construction,NONE,BROAD,1,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,magnolia roofing,NONE,BROAD,1,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,malarkey,NONE,BROAD,1,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,metairie roofers,NONE,BROAD,1,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,purcell roofing,NONE,BROAD,2,1,9.56,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,roof leakage repair,NONE,BROAD,1,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,roofing store,NONE,BROAD,1,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,sky365 roof,NONE,BROAD,1,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,structural contractors near me,NONE,BROAD,1,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,sunbelt roofing,NONE,BROAD,1,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,w e o neil construction,NONE,BROAD,1,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,water proof roofing,NONE,BROAD,1,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,177405346074,Roof Inspections & Estimates,fortified roof program,NONE,BROAD,3,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,177405346074,Roof Inspections & Estimates,fortify roof louisiana,NONE,BROAD,1,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,177405346074,Roof Inspections & Estimates,garcia roofing commercial,NONE,BROAD,2,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,177405346074,Roof Inspections & Estimates,louisiana fortified roof program,NONE,BROAD,3,1,5.49,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,177405346074,Roof Inspections & Estimates,polycarbonate roof panels,NONE,BROAD,1,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,177405346074,Roof Inspections & Estimates,roof chimney,NONE,BROAD,1,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,177405346074,Roof Inspections & Estimates,roofing companies near me,NONE,BROAD,2,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,177405346074,Roof Inspections & Estimates,roofing inspector,NONE,BROAD,4,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,abc roofing,NONE,BROAD,2,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,contractors new orleans,NONE,BROAD,1,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,corrugated industries chalmette,NONE,BROAD,1,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,fortenberry roofing,NONE,BROAD,1,0,0.0,0.0,0.0
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,fortified roof,NONE,BROAD,1,0,0.0,0.0,0.0
