date,campaign_id,campaign_name,campaign_status,channel_type,bidding_strategy,impressions,clicks,cost,conversions,conversions_value,all_conversions,view_through_conversions,avg_cpc,avg_cpm,impression_share,budget_lost_is,rank_lost_is
2025-04-18,22180269024,Roofing Services 2025 - ECT/OCS,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,195,9,99.154344,0.0,0.0,0.0,0,11.017149333333334,508.48381538461535,0.228125,0.0,0.771875
2025-04-19,22180269024,Roofing Services 2025 - ECT/OCS,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,79,4,57.176621,1.0,250.0,1.0,0,14.29415525,723.7546962025317,0.19411764705882353,0.1,0.7058823529411765
2025-04-20,22180269024,Roofing Services 2025 - ECT/OCS,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,29,1,3.53,0.0,0.0,0.0,0,3.53,121.72413793103448,0.10317460317460317,0.0,0.8968253968253969
2025-04-21,22180269024,Roofing Services 2025 - ECT/OCS,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,182,9,209.037517,1.0,1.0,2.0,0,23.226390777777777,1148.5577857142855,0.14742967992240544,0.5955383123181377,0.25703200775945684
2025-04-22,22180269024,Roofing Services 2025 - ECT/OCS,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,83,5,153.8,1.0,1.0,1.0,0,30.76,1853.012048192771,0.11299435028248588,0.7269303201506592,0.160075329566855
2025-04-23,22180269024,Roofing Services 2025 - ECT/OCS,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,120,5,144.335767,0.0,0.0,0.0,0,28.8671534,1202.7980583333333,0.12410501193317422,0.649164677804296,0.22673031026252982
2025-04-24,22180269024,Roofing Services 2025 - ECT/OCS,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,123,4,124.386698,1.0,1.0,1.0,0,31.0966745,1011.2739674796749,0.11402508551881414,0.6841505131128849,0.20182440136830102
2025-04-25,22180269024,Roofing Services 2025 - ECT/OCS,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,239,7,89.49,0.0,0.0,0.0,0,12.784285714285714,374.43514644351467,0.2520775623268698,0.0013850415512465374,0.7465373961218836
2025-04-26,22180269024,Roofing Services 2025 - ECT/OCS,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,105,5,48.48,0.0,0.0,1.0,0,9.696,461.7142857142857,0.1875,0.0,0.8125
2025-04-27,22180269024,Roofing Services 2025 - ECT/OCS,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,60,4,13.06,0.0,0.0,0.0,0,3.265,217.66666666666666,0.16853932584269662,0.0,0.8314606741573034
